Code,Year,Public social expenditure as a share of GDP
NOR,1974,14.323746
NOR,1975,14.974225
NOR,1976,15.539198
NOR,1977,15.916625
NOR,1978,16.711977
NOR,1979,16.927437
NOR,1980,16.121
NOR,1981,16.066881
NOR,1985,17.198
NOR,1988,19.971
NOR,1989,20.866
NOR,1990,21.55
NOR,1991,22.458
NOR,1992,23.346
NOR,1993,23.261
NOR,1994,23.081
NOR,1995,22.474
NOR,1996,21.681
NOR,1997,21.183
NOR,1998,22.634
NOR,1999,22.552
NOR,2000,20.411
NOR,2001,21.234
NOR,2002,22.71
NOR,2003,23.644
NOR,2004,22.283
NOR,2005,20.737
NOR,2006,19.479
NOR,2007,19.603
NOR,2008,19.28
NOR,2009,22.519
NOR,2010,22.119
NOR,2011,21.578
NOR,2012,21.469
NOR,2013,21.918
NOR,2014,22.839
NOR,2015,24.681
NOR,2016,25.934
NOR,2017,25.129
NOR,2018,24.21
NOR,2019,25.278
NOR,2020,28.159
NOR,2021,24.362
NOR,2022,20.676
,1980,14.36
,1981,14.664
,1982,15.119
,1983,15.388
,1984,15.158
,1985,15.887
,1986,15.723
,1987,15.863
,1988,15.773
,1989,15.657
,1990,16.364
,1991,17.175
,1992,17.975
,1993,18.473
,1994,18.269
,1995,17.993
,1996,17.98
,1997,17.646
,1998,17.705
,1999,17.624
,2000,17.333
,2001,17.54
,2002,17.985
,2003,18.31
,2004,18.109
,2005,18.114
,2006,17.757
,2007,17.662
,2008,18.409
,2009,20.593
,2010,20.405
,2011,20.052
,2012,20.146
,2013,20.212
,2014,20.165
,2015,20.073
,2016,20.053
,2017,19.771
,2018,19.682
,2019,20.101
,2020,22.961
,2021,21.978
,2022,21.094
POL,1990,14.194
POL,1991,20.485
POL,1992,24.042
POL,1993,23.536
POL,1994,22.462
POL,1995,21.808
POL,1996,21.988
POL,1997,21.48
POL,1998,20.777
POL,1999,21.114
POL,2000,20.182
POL,2001,21.71
POL,2002,21.815
POL,2003,21.965
POL,2004,21.251
POL,2005,20.898
POL,2006,20.636
POL,2007,19.529
POL,2008,20.222
POL,2009,21.311
POL,2010,20.727
POL,2011,19.578
POL,2012,19.856
POL,2013,20.606
POL,2014,20.288
POL,2015,20.219
POL,2016,21.185
POL,2017,20.786
POL,2018,20.509
POL,2019,21.186
POL,2020,23.226
POL,2021,22.568
POL,2022,22.706
PRT,1980,9.515
PRT,1981,10.157
PRT,1982,9.614
PRT,1983,9.728
PRT,1984,9.664
PRT,1985,9.83
PRT,1986,10.424
PRT,1987,10.695
PRT,1988,10.852
PRT,1989,10.495
PRT,1990,12.225
PRT,1991,13.104
PRT,1992,13.758
PRT,1993,15.12
PRT,1994,15.238
PRT,1995,16.019
PRT,1996,16.597
PRT,1997,16.443
PRT,1998,16.836
PRT,1999,17.243
PRT,2000,18.576
PRT,2001,19.061
PRT,2002,20.408
PRT,2003,21.461
PRT,2004,21.798
PRT,2005,22.424
PRT,2006,21.643
PRT,2007,21.307
PRT,2008,21.768
PRT,2009,24.11
PRT,2010,24.336
PRT,2011,24.229
PRT,2012,24.332
PRT,2013,25.413
PRT,2014,24.977
PRT,2015,23.922
PRT,2016,23.459
PRT,2017,22.728
PRT,2018,22.457
PRT,2019,22.341
PRT,2020,25.113
PRT,2021,24.798
PRT,2022,24.639
SVK,1995,18.327
SVK,1996,17.938
SVK,1997,17.582
SVK,1998,17.706
SVK,1999,18.184
SVK,2000,17.517
SVK,2001,17.231
SVK,2002,17.389
SVK,2003,16.619
SVK,2004,15.899
SVK,2005,15.377
SVK,2006,15.06
SVK,2007,14.858
SVK,2008,14.935
SVK,2009,17.77
SVK,2010,17.372
SVK,2011,17.126
SVK,2012,17.325
SVK,2013,17.66
SVK,2014,17.746
SVK,2015,17.249
SVK,2016,17.625
SVK,2017,17.518
SVK,2018,17.177
SVK,2019,17.452
SVK,2020,19.769
SVK,2021,19.631
SVK,2022,19.057
SVN,1995,5.681
SVN,1996,21.925
SVN,1997,22.267
SVN,1998,22.342
SVN,1999,22.316
SVN,2000,22.095
SVN,2001,21.95
SVN,2002,22.32
SVN,2003,21.935
SVN,2004,21.551
SVN,2005,21.524
SVN,2006,21.126
SVN,2007,19.763
SVN,2008,19.88
SVN,2009,22.428
SVN,2010,23.355
SVN,2011,23.441
SVN,2012,23.473
SVN,2013,23.802
SVN,2014,23.089
SVN,2015,22.65
SVN,2016,22.246
SVN,2017,21.485
SVN,2018,21.325
SVN,2019,21.472
SVN,2020,24.467
SVN,2021,23.657
SVN,2022,22.839
KOR,1990,2.643
KOR,1991,2.546
KOR,1992,2.766
KOR,1993,2.839
KOR,1994,2.834
KOR,1995,3.013
KOR,1996,3.162
KOR,1997,3.402
KOR,1998,4.717
KOR,1999,5.622
KOR,2000,4.412
KOR,2001,4.788
KOR,2002,4.654
KOR,2003,4.945
KOR,2004,5.536
KOR,2005,5.88
KOR,2006,6.699
KOR,2007,6.782
KOR,2008,7.264
KOR,2009,8.069
KOR,2010,7.86
KOR,2011,7.814
KOR,2012,8.329
KOR,2013,8.825
KOR,2014,9.19
KOR,2015,9.636
KOR,2016,9.87
KOR,2017,10.107
KOR,2018,10.895
KOR,2019,12.259
KOR,2020,14.393
KOR,2021,14.922
KOR,2022,14.843
ESP,1980,14.942
ESP,1981,16.042
ESP,1982,16.054
ESP,1983,16.782
ESP,1984,16.56
ESP,1985,17.086
ESP,1986,16.836
ESP,1987,16.718
ESP,1988,17.199
ESP,1989,17.313
ESP,1990,19.144
ESP,1991,19.876
ESP,1992,21.011
ESP,1993,22.256
ESP,1994,21.265
ESP,1995,20.631
ESP,1996,20.533
ESP,1997,19.964
ESP,1998,19.863
ESP,1999,19.737
ESP,2000,19.464
ESP,2001,19.091
ESP,2002,19.35
ESP,2003,19.989
ESP,2004,20.213
ESP,2005,20.475
ESP,2006,20.516
ESP,2007,20.897
ESP,2008,22.326
ESP,2009,25.613
ESP,2010,24.902
ESP,2011,25.541
ESP,2012,25.55
ESP,2013,25.705
ESP,2014,25.373
ESP,2015,24.707
ESP,2016,24.245
ESP,2017,23.927
ESP,2018,24.034
ESP,2019,24.647
ESP,2020,31.184
ESP,2021,29.538
ESP,2022,28.086
SWE,1880,0.72
SWE,1890,0.85
SWE,1900,0.85
SWE,1910,1.03
SWE,1920,1.14
SWE,1930,2.59
SWE,1960,10.224313
SWE,1961,10.171698
SWE,1962,10.491171
SWE,1963,11.7051935
SWE,1964,11.80476
SWE,1965,12.444718
SWE,1966,13.26691
SWE,1967,14.3737335
SWE,1968,15.423788
SWE,1969,15.587025
SWE,1970,15.826911
SWE,1971,17.34218
SWE,1972,17.35731
SWE,1973,17.379168
SWE,1974,19.88066
SWE,1975,19.979963
SWE,1976,20.905005
SWE,1977,23.129807
SWE,1978,23.793518
SWE,1979,23.74045
SWE,1980,24.494
SWE,1981,25.192
SWE,1982,25.126
SWE,1983,25.422
SWE,1984,24.652
SWE,1985,26.587
SWE,1986,26.709
SWE,1987,26.929
SWE,1988,27.376
SWE,1989,26.804
SWE,1990,26.853
SWE,1991,28.66
SWE,1992,32.205
SWE,1993,33.696
SWE,1994,32.517
SWE,1995,30.189
SWE,1996,29.717
SWE,1997,28.472
SWE,1998,28.172
SWE,1999,27.65
SWE,2000,26.427
SWE,2001,26.547
SWE,2002,27.209
SWE,2003,27.922
SWE,2004,27.426
SWE,2005,27.103
SWE,2006,26.408
SWE,2007,25.328
SWE,2008,25.366
SWE,2009,27.21
SWE,2010,25.849
SWE,2011,25.276
SWE,2012,26.276
SWE,2013,26.948
SWE,2014,26.587
SWE,2015,26.107
SWE,2016,26.527
SWE,2017,25.859
SWE,2018,25.633
SWE,2019,25.072
SWE,2020,25.855
SWE,2021,24.9
SWE,2022,23.671
CHE,1930,1.17
CHE,1980,12.358
CHE,1981,12.085
CHE,1982,12.779
CHE,1983,13.136
CHE,1984,13.277
CHE,1985,12.96
CHE,1986,13.073
CHE,1987,13.185
CHE,1988,13.23
CHE,1989,12.946
CHE,1990,12.599
CHE,1991,13.402
CHE,1992,14.793
CHE,1993,16.109
CHE,1994,16.059
CHE,1995,14.383
CHE,1996,14.642
CHE,1997,15.091
CHE,1998,15.068
CHE,1999,14.876
CHE,2000,14.078
CHE,2001,14.353
CHE,2002,15.345
CHE,2003,15.949
CHE,2004,15.84
CHE,2005,15.679
CHE,2006,14.941
CHE,2007,14.368
CHE,2008,14.049
CHE,2009,15.557
CHE,2010,15.204
CHE,2011,15.162
CHE,2012,15.378
CHE,2013,15.67
CHE,2014,15.579
CHE,2015,16.08
CHE,2016,16.237
CHE,2017,16.435
CHE,2018,15.969
CHE,2019,16.145
CHE,2020,19.315
CHE,2021,18.03
CHE,2022,17.038
TUR,1980,2.245
TUR,1981,1.647
TUR,1982,1.784
TUR,1983,1.844
TUR,1984,2.219
TUR,1985,1.949
TUR,1986,2.094
TUR,1987,2.186
TUR,1988,2.553
TUR,1989,3.084
TUR,1990,3.792
TUR,1991,4.054
TUR,1992,4.163
TUR,1993,3.97
TUR,1994,3.638
TUR,1995,3.363
TUR,1996,4.574
TUR,1997,4.83
TUR,1998,5.002
TUR,1999,5.695
TUR,2000,7.513
TUR,2001,8.167
TUR,2002,8.734
TUR,2003,9.674
TUR,2004,9.953
TUR,2005,9.921
TUR,2006,10.206
TUR,2007,10.77
TUR,2008,10.978
TUR,2009,12.883
TUR,2010,12.212
TUR,2011,11.73
TUR,2012,11.879
TUR,2013,11.684
TUR,2014,11.61
TUR,2015,11.488
TUR,2016,12.534
TUR,2017,11.999
TUR,2018,11.767
TUR,2019,12.429
GBR,1880,0.86
GBR,1890,0.83
GBR,1900,1
GBR,1910,1.38
GBR,1920,1.39
GBR,1930,2.24
GBR,1960,9.695268
GBR,1961,9.937714
GBR,1962,10.126616
GBR,1963,10.619389
GBR,1964,10.441891
GBR,1965,11.067408
GBR,1966,11.281802
GBR,1967,11.917085
GBR,1968,12.380001
GBR,1969,12.374165
GBR,1970,12.529809
GBR,1971,12.405704
GBR,1972,13.178441
GBR,1973,12.79034
GBR,1974,14.160776
GBR,1975,14.835801
GBR,1976,15.372347
GBR,1977,15.317716
GBR,1978,15.626504
GBR,1979,15.545771
GBR,1980,15.587
GBR,1981,16.879
GBR,1982,17.324
GBR,1983,18.123
GBR,1984,18.056
GBR,1985,18.181
GBR,1986,18.193
GBR,1987,17.389
GBR,1988,16.133
GBR,1989,15.458
GBR,1990,14.903
GBR,1991,16.385
GBR,1992,17.821
GBR,1993,18.423
GBR,1994,17.719
GBR,1995,16.575
GBR,1996,16.393
GBR,1997,16.528
GBR,1998,16.925
GBR,1999,16.735
GBR,2000,16.807
GBR,2001,17.606
GBR,2002,17.864
GBR,2003,18.619
GBR,2004,19.188
GBR,2005,19.141
GBR,2006,19.063
GBR,2007,19.571
GBR,2008,20.828
GBR,2009,22.924
GBR,2010,23.069
GBR,2011,22.851
GBR,2012,22.951
GBR,2013,22.224
GBR,2014,21.685
GBR,2015,21.279
GBR,2016,20.616
GBR,2017,20.212
GBR,2018,19.724
GBR,2019,19.513
GBR,2020,22.488
GBR,2021,22.1
USA,1880,0.29
USA,1890,0.45
USA,1900,0.55
USA,1910,0.56
USA,1920,0.7
USA,1930,0.56
USA,1960,6.2148666
USA,1961,6.785977
USA,1962,6.833349
USA,1963,6.8057847
USA,1964,6.717871
USA,1965,6.7227244
USA,1966,6.835506
USA,1967,7.513561
USA,1968,7.8853393
USA,1969,7.979135
USA,1970,8.879691
USA,1971,9.5997715
USA,1972,9.746132
USA,1973,9.940621
USA,1974,10.912134
USA,1975,12.406018
USA,1976,12.254199
USA,1977,12.023055
USA,1978,11.657559
USA,1979,11.810509
USA,1980,12.86
USA,1981,13.2
USA,1982,13.619
USA,1983,13.783
USA,1984,12.894
USA,1985,12.587
USA,1986,12.924
USA,1987,12.883
USA,1988,12.845
USA,1989,12.833
USA,1990,13.197
USA,1991,14.166
USA,1992,14.847
USA,1993,15.114
USA,1994,15.06
USA,1995,14.94
USA,1996,15.215
USA,1997,14.333
USA,1998,14.395
USA,1999,14.119
USA,2000,14.123
USA,2001,14.698
USA,2002,15.536
USA,2003,15.801
USA,2004,15.663
USA,2005,15.492
USA,2006,15.541
USA,2007,15.673
USA,2008,16.245
USA,2009,18.309
USA,2010,19.033
USA,2011,18.726
USA,2012,18.46
USA,2013,18.428
USA,2014,18.439
USA,2015,18.537
USA,2016,18.658
USA,2017,18.474
USA,2018,18.235
USA,2019,18.262
USA,2020,23.942
USA,2021,22.7
