Code,Year,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)
BHR,2003,3.88658
BHR,2004,3.49818
BHR,2005,3.25871
BHR,2006,3.10821
BHR,2007,3.29534
BHR,2008,3.20387
BHR,2009,4.32667
BHR,2010,4.08935
BHR,2011,3.86518
BHR,2012,4.10642
BHR,2013,4.30854
BHR,2014,4.4124
BHR,2015,4.97672
BHR,2016,4.86051
BHR,2017,4.51236
BHR,2018,4.12746
BHR,2019,3.9598
BHR,2020,4.71962
BHR,2021,4.49224
BHR,2022,3.83745
BGD,2000,1.80505
BGD,2001,1.77202
BGD,2002,1.93417
BGD,2003,1.96152
BGD,2004,1.99854
BGD,2005,2.05874
BGD,2006,2.10647
BGD,2007,2.17268
BGD,2008,2.11879
BGD,2009,2.18322
BGD,2010,2.28808
BGD,2011,2.36418
BGD,2012,2.35379
BGD,2013,2.29574
BGD,2014,2.27915
BGD,2015,2.27218
BGD,2016,2.38938
BGD,2017,2.3672
BGD,2018,2.31622
BGD,2019,2.25762
BGD,2020,2.27064
BGD,2021,2.36551
BGD,2022,2.39039
BRB,2000,5.33187
BRB,2001,5.52529
BRB,2002,5.86123
BRB,2003,6.69148
BRB,2004,7.31298
BRB,2005,6.77536
BRB,2006,6.5837
BRB,2007,6.05665
BRB,2008,6.47753
BRB,2009,7.14523
BRB,2010,6.77095
BRB,2011,6.8969
BRB,2012,7.7782
BRB,2013,7.39746
BRB,2014,6.96651
BRB,2015,6.81828
BRB,2016,6.83312
BRB,2017,6.64786
BRB,2018,6.43944
BRB,2019,6.12044
BRB,2020,7.27406
BRB,2021,7.93866
BRB,2022,6.29389
BLR,2000,5.28088
BLR,2001,5.70648
BLR,2002,5.62404
BLR,2003,5.77103
BLR,2004,5.73651
BLR,2005,6.07036
BLR,2006,5.57366
BLR,2007,5.69172
BLR,2008,5.29449
BLR,2009,5.39065
BLR,2010,5.65694
BLR,2011,4.87453
BLR,2012,5.24539
BLR,2013,5.69563
BLR,2014,5.38792
BLR,2015,6.06528
BLR,2016,5.91054
BLR,2017,5.75975
BLR,2018,5.52699
BLR,2019,5.86134
BLR,2020,6.40607
BLR,2021,6.5655
BLR,2022,6.6592
BEL,2000,7.99918
BEL,2001,8.14989
BEL,2002,8.31821
BEL,2003,9.16443
BEL,2004,9.32809
BEL,2005,9.22217
BEL,2006,9.12786
BEL,2007,9.13449
BEL,2008,9.59316
BEL,2009,10.31898
BEL,2010,10.2001
BEL,2011,10.3614
BEL,2012,10.5025
BEL,2013,10.5746
BEL,2014,10.60847
BEL,2015,10.79679
BEL,2016,10.79323
BEL,2017,10.80118
BEL,2018,10.86121
BEL,2019,10.75969
BEL,2020,11.26482
BEL,2021,11.04725
BEL,2022,10.76192
BLZ,2000,3.09182
BLZ,2001,3.58663
BLZ,2002,3.69127
BLZ,2003,3.64453
BLZ,2004,3.53016
BLZ,2005,3.55393
BLZ,2006,3.56431
BLZ,2007,4.07202
BLZ,2008,4.53075
BLZ,2009,4.5234
BLZ,2010,4.4939
BLZ,2011,4.54753
BLZ,2012,4.36309
BLZ,2013,4.4416
BLZ,2014,4.89684
BLZ,2015,4.6688
BLZ,2016,4.7828
BLZ,2017,4.6335
BLZ,2018,4.76724
BLZ,2019,4.84424
BLZ,2020,5.35448
BLZ,2021,5.05842
BLZ,2022,4.23174
BEN,2000,2.95917
BEN,2001,3.30417
BEN,2002,3.09589
BEN,2003,3.11679
BEN,2004,3.23274
BEN,2005,3.22346
BEN,2006,3.28774
BEN,2007,2.93716
BEN,2008,2.65178
BEN,2009,2.88893
BEN,2010,3.00989
BEN,2011,2.99708
BEN,2012,3.07563
BEN,2013,2.86881
BEN,2014,2.69112
BEN,2015,2.72813
BEN,2016,2.7955
BEN,2017,2.66814
BEN,2018,2.88632
BEN,2019,2.50914
BEN,2020,2.71236
BEN,2021,2.5813
BEN,2022,2.67981
BTN,2000,4.13868
BTN,2001,4.60038
BTN,2002,3.95161
BTN,2003,3.83481
BTN,2004,4.26398
BTN,2005,3.83309
BTN,2006,4.08524
BTN,2007,3.83775
BTN,2008,3.14842
BTN,2009,3.29665
BTN,2010,3.29502
BTN,2011,3.08311
BTN,2012,3.32088
BTN,2013,3.40428
BTN,2014,3.28294
BTN,2015,3.48926
BTN,2016,3.3271
BTN,2017,3.13453
BTN,2018,3.06897
BTN,2019,3.37511
BTN,2020,4.08452
BTN,2021,3.07291
BTN,2022,4.38546
BOL,2000,4.39554
BOL,2001,4.82522
BOL,2002,4.89645
BOL,2003,5.1971
BOL,2004,4.86316
BOL,2005,5.07408
BOL,2006,4.66088
BOL,2007,4.69689
BOL,2008,4.60677
BOL,2009,5.17445
BOL,2010,5.20231
BOL,2011,5.17307
BOL,2012,5.25394
BOL,2013,5.57465
BOL,2014,5.89614
BOL,2015,6.55065
BOL,2016,6.83333
BOL,2017,6.49019
BOL,2018,6.60399
BOL,2019,6.88793
BOL,2020,8.02258
BOL,2021,8.15973
BOL,2022,8.43143
BIH,2000,7.98265
BIH,2001,7.59562
BIH,2002,7.41844
BIH,2003,8.30198
BIH,2004,9.0627
BIH,2005,9.05224
BIH,2006,9.17219
BIH,2007,9.5306
BIH,2008,9.68944
BIH,2009,9.02212
BIH,2010,9.01888
BIH,2011,9.17856
BIH,2012,9.49002
BIH,2013,9.44886
BIH,2014,9.49011
BIH,2015,9.24087
BIH,2016,9.13943
BIH,2017,8.81797
BIH,2018,8.761
BIH,2019,8.92544
BIH,2020,9.70312
BIH,2021,9.55514
BIH,2022,8.71645
BWA,2000,6.10839
BWA,2001,6.36608
BWA,2002,6.6653
BWA,2003,6.40934
BWA,2004,6.09126
BWA,2005,5.26533
BWA,2006,4.87599
BWA,2007,5.52081
BWA,2008,5.89747
BWA,2009,6.62081
BWA,2010,6.26718
BWA,2011,5.86915
BWA,2012,6.35011
BWA,2013,6.49914
BWA,2014,5.88041
BWA,2015,6.10288
BWA,2016,5.76838
BWA,2017,6.62987
BWA,2018,6.0401
BWA,2019,6.12193
BWA,2020,6.12134
BWA,2021,6.30755
BWA,2022,5.72839
BRA,2000,8.33457
BRA,2001,8.54963
BRA,2002,8.69687
BRA,2003,8.18899
BRA,2004,8.12492
BRA,2005,8.0354
BRA,2006,8.24953
BRA,2007,8.20183
BRA,2008,8.01128
BRA,2009,8.3948
BRA,2010,7.94517
BRA,2011,7.78819
BRA,2012,7.73638
BRA,2013,7.9766
BRA,2014,8.39644
BRA,2015,8.9093
BRA,2016,9.16902
BRA,2017,9.47125
BRA,2018,9.46475
BRA,2019,9.61449
BRA,2020,9.62327
BRA,2021,9.63647
BRA,2022,9.14277
BRN,2000,2.54791
BRN,2001,2.54651
BRN,2002,2.53448
BRN,2003,2.60261
BRN,2004,2.55193
BRN,2005,2.23386
BRN,2006,1.90725
BRN,2007,1.94145
BRN,2008,1.87612
BRN,2009,2.39307
BRN,2010,2.27826
BRN,2011,1.8641
BRN,2012,1.85097
BRN,2013,1.89831
BRN,2014,1.91437
BRN,2015,2.38709
BRN,2016,2.54829
BRN,2017,2.27023
BRN,2018,2.41289
BRN,2019,2.22774
BRN,2020,2.45178
BRN,2021,2.14642
BRN,2022,1.81768
BGR,2000,5.82971
BGR,2001,6.85959
BGR,2002,7.08099
BGR,2003,7.19987
BGR,2004,6.89091
BGR,2005,6.89011
BGR,2006,6.52545
BGR,2007,6.15652
BGR,2008,6.28282
BGR,2009,6.59578
BGR,2010,7.09478
BGR,2011,7.10251
BGR,2012,7.53904
BGR,2013,7.14167
BGR,2014,7.68306
BGR,2015,7.39364
BGR,2016,7.45975
BGR,2017,7.49624
BGR,2018,7.33192
BGR,2019,7.09238
BGR,2020,8.48236
BGR,2021,8.61893
BGR,2022,7.66358
BFA,2000,2.95026
BFA,2001,2.88835
BFA,2002,2.97113
BFA,2003,3.14307
BFA,2004,4.21721
BFA,2005,3.9511
BFA,2006,4.51446
BFA,2007,5.23373
BFA,2008,4.64781
BFA,2009,5.08159
BFA,2010,5.23958
BFA,2011,4.64868
BFA,2012,4.60267
BFA,2013,5.56332
BFA,2014,5.00027
BFA,2015,5.13192
BFA,2016,5.95486
BFA,2017,6.05966
BFA,2018,4.99954
BFA,2019,5.36803
BFA,2020,6.57715
BFA,2021,6.40748
BFA,2022,6.77182
BDI,2000,4.22182
BDI,2001,5.6818
BDI,2002,5.34984
BDI,2003,5.27245
BDI,2004,7.09573
BDI,2005,7.56017
BDI,2006,8.71265
BDI,2007,9.18554
BDI,2008,7.74148
BDI,2009,9.23238
BDI,2010,11.28197
BDI,2011,10.06996
BDI,2012,8.63756
BDI,2013,8.62835
BDI,2014,7.21082
BDI,2015,6.29023
BDI,2016,7.06148
BDI,2017,6.95276
BDI,2018,7.29396
BDI,2019,9.05011
BDI,2020,10.71837
BDI,2021,8.99484
BDI,2022,8.39523
KHM,2000,6.48248
KHM,2001,6.76129
KHM,2002,6.92061
KHM,2003,6.45834
KHM,2004,6.48597
KHM,2005,6.15048
KHM,2006,5.36461
KHM,2007,4.20613
KHM,2008,5.61297
KHM,2009,6.30897
KHM,2010,5.62713
KHM,2011,6.00444
KHM,2012,5.72469
KHM,2013,5.46155
KHM,2014,5.07833
KHM,2015,4.62507
KHM,2016,4.49053
KHM,2017,4.26933
KHM,2018,4.49708
KHM,2019,5.05801
KHM,2020,5.28458
KHM,2021,5.51976
KHM,2022,4.7109
CMR,2000,4.29573
CMR,2001,4.1683
CMR,2002,4.0267
CMR,2003,3.90228
CMR,2004,3.72799
CMR,2005,3.77274
CMR,2006,3.73663
CMR,2007,3.79499
CMR,2008,3.65844
CMR,2009,3.49997
CMR,2010,3.57742
CMR,2011,3.85283
CMR,2012,3.93102
CMR,2013,3.63136
CMR,2014,4.34149
CMR,2015,4.12601
CMR,2016,4.02254
CMR,2017,3.79294
CMR,2018,3.6197
CMR,2019,3.65158
CMR,2020,4.25052
CMR,2021,4.30539
CMR,2022,4.47836
CAN,2000,8.24814
CAN,2001,8.62482
CAN,2002,8.8567
CAN,2003,9.0109
CAN,2004,9.06628
CAN,2005,9.03541
CAN,2006,9.32523
CAN,2007,9.42872
CAN,2008,9.58827
CAN,2009,10.69968
CAN,2010,10.70405
CAN,2011,10.40832
CAN,2012,10.54461
CAN,2013,10.43964
CAN,2014,10.28526
CAN,2015,10.7685
CAN,2016,11.06097
CAN,2017,10.93421
CAN,2018,10.94313
CAN,2019,11.05897
CAN,2020,13.02419
CAN,2021,12.41921
CAN,2022,11.23433
CPV,2000,4.43401
CPV,2001,4.75244
CPV,2002,4.75552
CPV,2003,4.8596
CPV,2004,4.75074
CPV,2005,4.47569
CPV,2006,5.12305
CPV,2007,5.14727
CPV,2008,4.35203
CPV,2009,3.96602
CPV,2010,4.08108
CPV,2011,3.92477
CPV,2012,4.67406
CPV,2013,4.82468
CPV,2014,4.85232
CPV,2015,4.40074
CPV,2016,4.36134
CPV,2017,4.74573
CPV,2018,4.76032
CPV,2019,4.47111
CPV,2020,6.6332
CPV,2021,7.31661
CPV,2022,6.6744
CAF,2000,4.38082
CAF,2001,4.01044
CAF,2002,4.23634
CAF,2003,4.18572
CAF,2004,4.14368
CAF,2005,4.22858
CAF,2006,4.31109
CAF,2007,4.63389
CAF,2008,4.02636
CAF,2009,4.68326
CAF,2010,3.567
CAF,2011,3.67562
CAF,2012,3.91814
CAF,2013,4.7666
CAF,2014,4.56557
CAF,2015,5.03434
CAF,2016,5.44402
CAF,2017,6.66542
CAF,2018,10.99527
CAF,2019,7.7614
CAF,2020,8.98555
CAF,2021,9.15271
CAF,2022,9.95509
TCD,2000,4.00527
TCD,2001,3.88476
TCD,2002,5.3339
TCD,2003,4.04336
TCD,2004,4.03655
TCD,2005,3.5529
TCD,2006,3.53793
TCD,2007,3.14605
TCD,2008,2.94988
TCD,2009,3.18316
TCD,2010,3.04079
TCD,2011,2.93421
TCD,2012,2.95897
TCD,2013,3.12303
TCD,2014,3.28551
TCD,2015,3.41505
TCD,2016,3.60403
TCD,2017,3.51023
TCD,2018,3.28932
TCD,2019,3.38254
TCD,2020,4.45331
TCD,2021,4.17852
TCD,2022,4.5255
CHL,2000,7.00021
CHL,2001,7.09733
CHL,2002,7.20834
CHL,2003,7.25048
CHL,2004,6.91029
CHL,2005,6.62372
CHL,2006,6.07236
CHL,2007,6.2126
CHL,2008,6.73954
CHL,2009,7.25027
CHL,2010,6.81958
CHL,2011,6.79948
CHL,2012,7.01951
CHL,2013,7.47553
CHL,2014,7.8415
CHL,2015,8.35139
CHL,2016,8.55767
CHL,2017,9.09052
CHL,2018,9.1504
CHL,2019,9.2992
CHL,2020,9.68911
CHL,2021,9.68593
CHL,2022,10.06173
CHN,2000,4.50828
CHN,2001,4.2533
CHN,2002,4.38285
CHN,2003,4.41763
CHN,2004,4.29347
CHN,2005,4.17605
CHN,2006,3.94742
CHN,2007,3.67491
CHN,2008,3.9
CHN,2009,4.34958
CHN,2010,4.23068
CHN,2011,4.34274
CHN,2012,4.56585
CHN,2013,4.71491
CHN,2014,4.77791
CHN,2015,4.93828
CHN,2016,4.97956
CHN,2017,5.06592
CHN,2018,5.1679
CHN,2019,5.35028
CHN,2020,5.5936
CHN,2021,5.38361
CHN,2022,5.36949
COL,2000,5.63529
COL,2001,5.94238
COL,2002,5.73297
COL,2003,5.77505
COL,2004,5.79892
COL,2005,6.06711
COL,2006,6.33547
COL,2007,6.49102
COL,2008,6.84192
COL,2009,7.31135
COL,2010,7.0713
COL,2011,6.78077
COL,2012,6.74602
COL,2013,7.01724
COL,2014,7.18553
COL,2015,7.52339
COL,2016,7.53117
COL,2017,7.67864
COL,2018,7.62541
COL,2019,7.77955
COL,2020,8.71432
COL,2021,9.01772
COL,2022,7.57361
COM,2000,7.52075
COM,2001,6.66054
COM,2002,6.68823
COM,2003,6.66025
COM,2004,6.58576
COM,2005,6.12671
COM,2006,5.77342
COM,2007,5.41754
COM,2008,5.06897
COM,2009,4.92694
COM,2010,4.99182
COM,2011,5.30212
COM,2012,5.17355
COM,2013,5.10299
COM,2014,5.2385
COM,2015,4.6009
COM,2016,4.65264
COM,2017,5.26807
COM,2018,4.90319
COM,2019,5.18044
COM,2020,5.90242
COM,2021,6.43369
COM,2022,8.38039
COG,2000,1.50501
COG,2001,2.1853
COG,2002,1.70168
COG,2003,1.91852
COG,2004,1.92152
COG,2005,1.71774
COG,2006,1.70861
COG,2007,1.902
COG,2008,2.23927
COG,2009,2.14222
COG,2010,1.85173
COG,2011,1.75237
COG,2012,1.90971
COG,2013,1.94347
COG,2014,1.97312
COG,2015,2.45668
COG,2016,2.59423
COG,2017,2.36476
COG,2018,1.75585
COG,2019,2.34771
COG,2020,4.01775
COG,2021,3.4934
COG,2022,2.19225
COK,2000,3.03594
COK,2001,3.25854
COK,2002,3.43605
COK,2003,3.20134
COK,2004,3.40954
COK,2005,3.90653
COK,2006,3.46896
COK,2007,4.21186
COK,2008,3.60124
COK,2009,3.61929
COK,2010,3.72605
COK,2011,3.65376
COK,2012,3.19375
COK,2013,3.518
COK,2014,3.72513
COK,2015,2.89496
COK,2016,3.21735
COK,2017,2.45219
COK,2018,2.66462
COK,2019,3.10784
COK,2020,5.83423
COK,2021,7.14872
COK,2022,5.74317
CRI,2000,6.56499
CRI,2001,6.4741
CRI,2002,6.86909
CRI,2003,6.96919
CRI,2004,6.63006
CRI,2005,6.6643
CRI,2006,6.93531
CRI,2007,6.99643
CRI,2008,7.46855
CRI,2009,7.86019
CRI,2010,8.02938
CRI,2011,8.12198
CRI,2012,7.78642
CRI,2013,7.68229
CRI,2014,7.66376
CRI,2015,7.59196
CRI,2016,7.31724
CRI,2017,7.04523
CRI,2018,7.28588
CRI,2019,7.22125
CRI,2020,7.82546
CRI,2021,7.6113
CRI,2022,7.18368
CIV,2000,4.00221
CIV,2001,3.98515
CIV,2002,3.92374
CIV,2003,3.95148
CIV,2004,4.02149
CIV,2005,3.96639
CIV,2006,3.92861
CIV,2007,4.1938
CIV,2008,4.13871
CIV,2009,4.63971
CIV,2010,4.57495
CIV,2011,4.39701
CIV,2012,4.42737
CIV,2013,3.71774
CIV,2014,3.73102
CIV,2015,3.21988
CIV,2016,3.32101
CIV,2017,3.24693
CIV,2018,3.09168
CIV,2019,3.18917
CIV,2020,3.62328
CIV,2021,3.76208
CIV,2022,3.64241
HRV,2000,7.65292
HRV,2001,7.17129
HRV,2002,6.14294
HRV,2003,6.29591
HRV,2004,6.50386
HRV,2005,6.83877
HRV,2006,6.90203
HRV,2007,7.38673
HRV,2008,7.63114
HRV,2009,8.06266
HRV,2010,7.96872
HRV,2011,7.64101
HRV,2012,7.65284
HRV,2013,6.40097
HRV,2014,6.57962
HRV,2015,6.6547
HRV,2016,6.68087
HRV,2017,6.612
HRV,2018,6.69267
HRV,2019,6.74317
HRV,2020,7.64949
HRV,2021,8.01352
HRV,2022,7.21545
CUB,2000,6.5819
CUB,2001,6.9821
CUB,2002,7.11482
CUB,2003,7.10295
CUB,2004,6.83179
CUB,2005,8.75525
CUB,2006,8.27191
CUB,2007,10.96749
CUB,2008,11.31423
CUB,2009,12.29054
CUB,2010,10.68808
CUB,2011,11.31299
CUB,2012,9.29941
CUB,2013,10.43099
CUB,2014,12.14122
CUB,2015,12.81404
CUB,2016,12.2177
CUB,2017,11.47202
CUB,2018,11.01842
CUB,2019,11.08501
CUB,2020,12.48642
CUB,2021,13.78728
CUB,2022,11.78683
CYP,2000,5.308
CYP,2001,5.3394
CYP,2002,5.61566
CYP,2003,5.63569
CYP,2004,5.40558
CYP,2005,5.43581
CYP,2006,5.46357
CYP,2007,5.35745
CYP,2008,6.01428
CYP,2009,6.46532
CYP,2010,6.50056
CYP,2011,6.43139
CYP,2012,6.53639
CYP,2013,6.92775
CYP,2014,6.93137
CYP,2015,6.79382
CYP,2016,6.65255
CYP,2017,6.62193
CYP,2018,6.826
CYP,2019,7.06577
CYP,2020,8.76034
CYP,2021,9.47552
CYP,2022,8.87061
CZE,2000,5.70103
CZE,2001,5.86295
CZE,2002,6.17736
CZE,2003,6.52412
CZE,2004,6.35071
CZE,2005,6.34087
CZE,2006,6.1638
CZE,2007,5.98578
CZE,2008,6.33025
CZE,2009,7.24881
CZE,2010,7.55344
CZE,2011,7.53358
CZE,2012,7.5941
CZE,2013,7.49542
CZE,2014,7.5951
CZE,2015,7.33515
CZE,2016,7.39305
CZE,2017,7.33911
CZE,2018,7.46031
CZE,2019,7.61343
CZE,2020,9.15722
CZE,2021,9.45247
CZE,2022,8.79905
COD,2000,1.46595
COD,2001,2.62311
COD,2002,2.57013
COD,2003,3.73353
COD,2004,4.33564
COD,2005,3.98558
COD,2006,4.06211
COD,2007,3.89385
COD,2008,4.31255
COD,2009,4.51133
COD,2010,3.72224
COD,2011,3.19436
COD,2012,3.2215
COD,2013,3.34058
COD,2014,3.72521
COD,2015,3.74785
COD,2016,4.20028
COD,2017,4.00058
COD,2018,3.24127
COD,2019,3.50804
COD,2020,3.97694
COD,2021,3.67749
COD,2022,3.78615
DNK,2000,8.10438
DNK,2001,8.44833
DNK,2002,8.70251
DNK,2003,8.90363
DNK,2004,9.00743
DNK,2005,9.09057
DNK,2006,9.1688
DNK,2007,9.32515
DNK,2008,9.51134
DNK,2009,10.67432
DNK,2010,10.60775
DNK,2011,10.40703
DNK,2012,10.52197
DNK,2013,10.32916
DNK,2014,10.30918
DNK,2015,10.34412
DNK,2016,10.25162
DNK,2017,10.09826
DNK,2018,10.09764
DNK,2019,10.15244
DNK,2020,10.71855
DNK,2021,10.74729
DNK,2022,9.47586
DJI,2000,3.39642
DJI,2001,3.19608
DJI,2002,3.75244
DJI,2003,4.27049
DJI,2004,3.53545
DJI,2005,3.80322
DJI,2006,4.21972
DJI,2007,4.05263
DJI,2008,3.61258
DJI,2009,3.63906
DJI,2010,3.357
DJI,2011,3.37388
DJI,2012,3.29731
DJI,2013,2.91782
DJI,2014,2.9593
DJI,2015,3.34758
DJI,2016,2.74166
DJI,2017,2.46857
DJI,2018,2.51872
DJI,2019,2.40641
DJI,2020,2.32228
DJI,2021,2.8867
DJI,2022,2.49675
DMA,2000,5.32374
DMA,2001,4.64502
DMA,2002,4.65311
DMA,2003,4.84618
DMA,2004,4.7452
DMA,2005,4.97773
DMA,2006,4.78092
DMA,2007,4.7911
DMA,2008,5.04969
DMA,2009,4.98329
DMA,2010,5.15712
