Code,Year,"Share of population in poverty ($3 a day, 2021 prices)",Population (historical),World regions according to OWID
AFG,1872,,4137920,
AFG,1873,,4156416,
AFG,1874,,4174988,
AFG,1875,,4193635,
AFG,1876,,4212359,
AFG,1877,,4231159,
AFG,1878,,4250036,
AFG,1879,,4268990,
AFG,1880,,4288021,
AFG,1881,,4307129,
AFG,1882,,4326316,
AFG,1883,,4345580,
AFG,1884,,4364922,
AFG,1885,,4384343,
AFG,1886,,4403843,
AFG,1887,,4423422,
AFG,1888,,4443080,
AFG,1889,,4462817,
AFG,1890,,4482635,
AFG,1891,,4502532,
AFG,1892,,4522510,
AFG,1893,,4542568,
AFG,1894,,4562708,
AFG,1895,,4582928,
AFG,1896,,4603230,
AFG,1897,,4623613,
AFG,1898,,4644079,
AFG,1899,,4672084,
AFG,1900,,4707744,
AFG,1901,,4751177,
AFG,1902,,4802500,
AFG,1903,,4861833,
AFG,1904,,4921891,
AFG,1905,,4982681,
AFG,1906,,5044212,
AFG,1907,,5106495,
AFG,1908,,5169536,
AFG,1909,,5300178,
AFG,1910,,5504191,
AFG,1911,,5787792,
AFG,1912,,6157669,
AFG,1913,,6621025,
AFG,1914,,7119235,
AFG,1915,,7654918,
AFG,1916,,8230894,
AFG,1917,,8850190,
AFG,1918,,9529174,
AFG,1919,,9976355,
AFG,1920,,10188845,
AFG,1921,,10162753,
AFG,1922,,9893152,
AFG,1923,,9374030,
AFG,1924,,8882148,
AFG,1925,,8416077,
AFG,1926,,7974462,
AFG,1927,,7556019,
AFG,1928,,7159534,
AFG,1929,,6851115,
AFG,1930,,6626142,
AFG,1931,,6480237,
AFG,1932,,6409250,
AFG,1933,,6409250,
AFG,1934,,6409250,
AFG,1935,,6409250,
AFG,1936,,6409250,
AFG,1937,,6409250,
AFG,1938,,6409250,
AFG,1939,,6428903,
AFG,1940,,6468510,
AFG,1941,,6528377,
AFG,1942,,6608815,
AFG,1943,,6710138,
AFG,1944,,6813016,
AFG,1945,,6917471,
AFG,1946,,7023527,
AFG,1947,,7131209,
AFG,1948,,7240542,
AFG,1949,,7356890,
AFG,1950,,7776180,
AFG,1951,,7879343,
AFG,1952,,7987784,
AFG,1953,,8096703,
AFG,1954,,8207954,
AFG,1955,,8326981,
AFG,1956,,8454303,
AFG,1957,,8588340,
AFG,1958,,8723412,
AFG,1959,,8869270,
AFG,1960,,9035048,
AFG,1961,,9214082,
AFG,1962,,9404410,
AFG,1963,,9604491,
AFG,1964,,9814317,
AFG,1965,,10036003,
AFG,1966,,10266397,
AFG,1967,,10505961,
AFG,1968,,10756924,
AFG,1969,,11017417,
AFG,1970,,11290134,
AFG,1971,,11567672,
AFG,1972,,11853698,
AFG,1973,,12158000,
AFG,1974,,12469127,
AFG,1975,,12773966,
AFG,1976,,13059861,
AFG,1977,,13340758,
AFG,1978,,13611444,
AFG,1979,,13655575,
AFG,1980,,13169313,
AFG,1981,,11937586,
AFG,1982,,10991380,
AFG,1983,,10917985,
AFG,1984,,11190222,
AFG,1985,,11426855,
AFG,1986,,11420074,
AFG,1987,,11387822,
AFG,1988,,11523299,
AFG,1989,,11874089,
AFG,1990,,12045664,
AFG,1991,,12238879,
AFG,1992,,13278983,
AFG,1993,,14943175,
AFG,1994,,16250800,
AFG,1995,,17065837,
AFG,1996,,17763266,
AFG,1997,,18452100,
AFG,1998,,19159996,
AFG,1999,,19887792,
AFG,2000,,20130334,
AFG,2001,,20284303,
AFG,2002,,21378123,
AFG,2003,,22733053,
AFG,2004,,23560656,
AFG,2005,,24404575,
AFG,2006,,25424100,
AFG,2007,,25909852,
AFG,2008,,26482631,
AFG,2009,,27466102,
AFG,2010,,28284088,
AFG,2011,,29347708,
AFG,2012,,30560036,
AFG,2013,,31622709,
AFG,2014,,32792528,
AFG,2015,,33831767,
AFG,2016,,34700613,
AFG,2017,,35688941,
AFG,2018,,36743040,
AFG,2019,,37856125,
AFG,2020,,39068977,
AFG,2021,,40000410,
AFG,2022,,40578847,
AFG,2023,,41454762,Asia
,-10000,,228973,
,-9000,,325004,
,-8000,,465827,
,-7000,,674187,
,-6000,,985195,
,-5000,,1453426,
,-4000,,2264223,
,-3000,,4026815,
,-2000,,6093084,
,-1000,,9034441,
,0,,14870035,
,100,,16254022,
,200,,17830592,
,300,,18797924,
,400,,20068212,
,500,,21592260,
,600,,23605838,
,700,,27198624,
,800,,31757168,
,900,,35767436,
,1000,,39869508,
,1100,,42444488,
,1200,,45540064,
,1300,,50940648,
,1400,,54830016,
,1500,,58613540,
,1600,,68577456,
,1700,,78557832,
,1710,,78025176,
,1720,,78267664,
,1730,,78574008,
,1740,,78944912,
,1750,,79382032,
,1760,,79888176,
,1770,,80467736,
,1780,,81127312,
,1790,,81860944,
,1800,,81273172,
,1801,,81378197,
,1802,,81484588,
,1803,,81592351,
,1804,,81701503,
,1805,,81812061,
,1806,,81924029,
,1807,,82037425,
,1808,,82152271,
,1809,,82268577,
,1810,,82387585,
,1811,,82515959,
,1812,,82655601,
,1813,,82806647,
,1814,,82969493,
,1815,,83144278,
,1816,,83331163,
,1817,,83530303,
,1818,,83741849,
,1819,,84037482,
,1820,,84418699,
,1821,,84896601,
,1822,,85462636,
,1823,,86142885,
,1824,,86843609,
,1825,,87565137,
,1826,,88307785,
,1827,,89071893,
,1828,,89857801,
,1829,,90666142,
,1830,,91497291,
,1831,,92352331,
,1832,,93221742,
,1833,,94105808,
,1834,,95004472,
,1835,,95918027,
,1836,,96846733,
,1837,,97790863,
,1838,,98750710,
,1839,,99745866,
,1840,,100777177,
,1841,,101844538,
,1842,,102949818,
,1843,,104093942,
,1844,,105258529,
,1845,,106444013,
,1846,,107650802,
,1847,,108879329,
,1848,,110130035,
,1849,,111271621,
,1850,,112301163,
,1851,,112964625,
,1852,,113506374,
,1853,,113925748,
,1854,,114348862,
,1855,,114775726,
,1856,,115206465,
,1857,,115641146,
,1858,,116079843,
,1859,,116531294,
,1860,,116995450,
,1861,,117468679,
,1862,,117954363,
,1863,,118452604,
,1864,,118954681,
,1865,,119460616,
,1866,,119970440,
,1867,,120484192,
,1868,,121001894,
,1869,,121535848,
,1870,,122086255,
,1871,,122649582,
,1872,,123231396,
,1873,,123830278,
,1874,,124434132,
,1875,,125042995,
,1876,,125656913,
,1877,,126275921,
,1878,,126900066,
,1879,,127539564,
,1880,,128194527,
,1881,,128863890,
,1882,,129548955,
,1883,,130249836,
,1884,,130956522,
,1885,,131669056,
,1886,,132387485,
,1887,,133111879,
,1888,,133842280,
,1889,,134489847,
,1890,,135054738,
,1891,,135539040,
,1892,,135941070,
,1893,,136260909,
,1894,,136587590,
,1895,,136921163,
,1896,,137261683,
,1897,,137609187,
,1898,,137963724,
,1899,,138345391,
,1900,,138755559,
,1901,,139195205,
,1902,,139666271,
,1903,,140170120,
,1904,,140688001,
,1905,,141220048,
,1906,,141766391,
,1907,,142327180,
,1908,,142902543,
,1909,,143483346,
,1910,,144068383,
,1911,,144655670,
,1912,,145245400,
,1913,,145835662,
,1914,,146434524,
,1915,,147042086,
,1916,,147658424,
,1917,,148283643,
,1918,,148892208,
,1919,,149751440,
,1920,,150865200,
,1921,,152239781,
,1922,,153876862,
,1923,,155780482,
,1924,,157712366,
,1925,,159672951,
,1926,,161662674,
,1927,,163681990,
,1928,,165731367,
,1929,,167813287,
,1930,,169928217,
,1931,,172076932,
,1932,,174259628,
,1933,,176476818,
,1934,,178726971,
,1935,,181010603,
,1936,,183328236,
,1937,,185680386,
,1938,,188067589,
,1939,,190609541,
,1940,,193310936,
,1941,,196179605,
,1942,,199217448,
,1943,,202429522,
,1944,,205701844,
,1945,,209035596,
,1946,,212431972,
,1947,,215892204,
,1948,,219417536,
,1949,,223283534,
,1950,,227776845,
,1951,,232557376,
,1952,,237539914,
,1953,,242685418,
,1954,,248006207,
,1955,,253538237,
,1956,,259271772,
,1957,,265129067,
,1958,,271042101,
,1959,,277271953,
,1960,,283922302,
,1961,,290814091,
,1962,,297959978,
,1963,,305371377,
,1964,,313060736,
,1965,,321013552,
,1966,,329252363,
,1967,,337851076,
,1968,,346800979,
,1969,,356032564,
,1970,,365552202,
,1971,,375326477,
,1972,,385312230,
,1973,,395821980,
,1974,,406870352,
,1975,,418433496,
,1976,,430496968,
,1977,,442660483,
,1978,,455539241,
,1979,,469198441,
,1980,,483051700,
,1981,,497620995,
,1982,,512958828,
,1983,,528232702,
,1984,,543638096,
,1985,,559664038,
,1986,,575967268,
,1987,,592601295,
,1988,,609387685,
,1989,,626359188,
,1990,,643775322,
,1991,,661103795,
,1992,,678558071,
,1993,,696621732,
,1994,,714502673,
,1995,,732695472,
,1996,,751473736,
,1997,,770384697,
,1998,,789981693,
,1999,,810079831,
,2000,,830582806,
,2001,,851690326,
,2002,,873411364,
,2003,,895734468,
,2004,,918778465,
,2005,,942546629,
,2006,,966932351,
,2007,,992055819,
,2008,,1018065511,
,2009,,1044777728,
,2010,,1072216734,
,2011,,1100148896,
,2012,,1128843700,
,2013,,1158780556,
,2014,,1189220572,
,2015,,1220075726,
,2016,,1251208653,
,2017,,1282902297,
,2018,,1315409974,
,2019,,1348005692,
,2020,,1380821349,
,2021,,1413753274,
,2022,,1446883821,
,2023,,1480770747,
,1950,,227776420,
,1951,,232556973,
,1952,,237539543,
,1953,,242685066,
,1954,,248005819,
,1955,,253537849,
,1956,,259271438,
,1957,,265128663,
,1958,,271041740,
,1959,,277271605,
,1960,,283921952,
,1961,,290813749,
,1962,,297959634,
,1963,,305371042,
,1964,,313060397,
,1965,,321013252,
,1966,,329251993,
,1967,,337850713,
,1968,,346800642,
,1969,,356032259,
,1970,,365551873,
,1971,,375326099,
,1972,,385311885,
,1973,,395821649,
,1974,,406869977,
,1975,,418433158,
,1976,,430496629,
,1977,,442660134,
,1978,,455538926,
,1979,,469198177,
,1980,,483051385,
,1981,,497620643,
,1982,,512958548,
,1983,,528232408,
,1984,,543637779,
,1985,,559663769,
,1986,,575967004,
,1987,,592601035,
,1988,,609387393,
,1989,,626358878,
,1990,,643775035,
,1991,,661103507,
,1992,,678557816,
,1993,,696621487,
,1994,,714502385,
,1995,,732695149,
,1996,,751473489,
,1997,,770384408,
,1998,,789981452,
,1999,,810079555,
,2000,,830582526,
,2001,,851690089,
,2002,,873411062,
,2003,,895734228,
,2004,,918778214,
,2005,,942546385,
,2006,,966932140,
,2007,,992055603,
,2008,,1018065280,
,2009,,1044777531,
,2010,,1072216494,
,2011,,1100148604,
,2012,,1128843458,
,2013,,1158780293,
,2014,,1189220342,
,2015,,1220075491,
,2016,,1251208462,
,2017,,1282902113,
,2018,,1315409772,
,2019,,1348005494,
,2020,,1380821169,
,2021,,1413753046,
,2022,,1446883650,
,2023,,1480770518,
ALA,2023,,,Europe
ALB,1996,2.9678411,3245680,
ALB,2002,4.194722,3134095,
ALB,2005,2.6502175,3076156,
ALB,2008,0.8273079,2992933,
ALB,2012,1.7945902,2910003,
ALB,2014,3.6761396,2903748,
ALB,2015,1.1148642,2898634,
ALB,2016,1.1406198,2897868,
ALB,2017,1.4444441,2898245,
ALB,2018,1.0100294,2894229,
ALB,2019,0.27236944,2885011,
ALB,2020,0.34092245,2871950,
ALB,-10000,,1199,
ALB,-9000,,1999,
ALB,-8000,,3332,
ALB,-7000,,5554,
ALB,-6000,,9256,
ALB,-5000,,15428,
ALB,-4000,,25713,
ALB,-3000,,42855,
ALB,-2000,,71426,
ALB,-1000,,119043,
ALB,0,,198405,
ALB,100,,198604,
ALB,200,,198803,
ALB,300,,199002,
ALB,400,,199201,
ALB,500,,199400,
ALB,600,,199600,
ALB,700,,199800,
ALB,800,,200000,
ALB,900,,200000,
ALB,1000,,200000,
ALB,1100,,200000,
ALB,1200,,200000,
ALB,1300,,200000,
ALB,1400,,200000,
ALB,1500,,200000,
ALB,1600,,200000,
ALB,1700,,300000,
ALB,1710,,311416,
ALB,1720,,322833,
ALB,1730,,334250,
ALB,1740,,345666,
ALB,1750,,357083,
ALB,1760,,368500,
ALB,1770,,379916,
ALB,1780,,391333,
ALB,1790,,402750,
ALB,1800,,400000,
ALB,1801,,401773,
ALB,1802,,403554,
ALB,1803,,405343,
ALB,1804,,407140,
ALB,1805,,408945,
ALB,1806,,410758,
ALB,1807,,412579,
ALB,1808,,414408,
ALB,1809,,416246,
ALB,1810,,418099,
ALB,1811,,419953,
ALB,1812,,421814,
ALB,1813,,423684,
ALB,1814,,425563,
ALB,1815,,427449,
ALB,1816,,429344,
ALB,1817,,431248,
ALB,1818,,433159,
ALB,1819,,435086,
ALB,1820,,437026,
ALB,1821,,438981,
ALB,1822,,440950,
ALB,1823,,442934,
ALB,1824,,444927,
ALB,1825,,446929,
ALB,1826,,448940,
ALB,1827,,450959,
ALB,1828,,452988,
ALB,1829,,455027,
ALB,1830,,457074,
ALB,1831,,459130,
ALB,1832,,461196,
ALB,1833,,463271,
ALB,1834,,465356,
ALB,1835,,467449,
ALB,1836,,469552,
ALB,1837,,471665,
ALB,1838,,473787,
ALB,1839,,475919,
ALB,1840,,478060,
ALB,1841,,480211,
ALB,1842,,482372,
ALB,1843,,484542,
ALB,1844,,486722,
ALB,1845,,488912,
ALB,1846,,491112,
ALB,1847,,493321,
ALB,1848,,495541,
ALB,1849,,498261,
ALB,1850,,501490,
ALB,1851,,505313,
ALB,1852,,509659,
ALB,1853,,514536,
ALB,1854,,519460,
ALB,1855,,524430,
ALB,1856,,529449,
ALB,1857,,534515,
ALB,1858,,539629,
ALB,1859,,544793,
ALB,1860,,550006,
ALB,1861,,555269,
ALB,1862,,560582,
ALB,1863,,565946,
ALB,1864,,571361,
ALB,1865,,576828,
ALB,1866,,582348,
ALB,1867,,587920,
ALB,1868,,593546,
ALB,1869,,599215,
ALB,1870,,604928,
ALB,1871,,610685,
ALB,1872,,616487,
ALB,1873,,622333,
ALB,1874,,628235,
ALB,1875,,634193,
ALB,1876,,640208,
ALB,1877,,646279,
ALB,1878,,652408,
ALB,1879,,658596,
ALB,1880,,664842,
ALB,1881,,671147,
ALB,1882,,677511,
ALB,1883,,683937,
ALB,1884,,690423,
ALB,1885,,696970,
ALB,1886,,703580,
ALB,1887,,710252,
ALB,1888,,716988,
ALB,1889,,723850,
ALB,1890,,730840,
ALB,1891,,737961,
ALB,1892,,745214,
ALB,1893,,752600,
ALB,1894,,760060,
ALB,1895,,767593,
ALB,1896,,775202,
ALB,1897,,782885,
ALB,1898,,790645,
ALB,1899,,798342,
ALB,1900,,805974,
ALB,1901,,813539,
ALB,1902,,821036,
ALB,1903,,828461,
ALB,1904,,835954,
ALB,1905,,843514,
ALB,1906,,851143,
ALB,1907,,858841,
ALB,1908,,866609,
ALB,1909,,874016,
ALB,1910,,881057,
ALB,1911,,887724,
ALB,1912,,894013,
ALB,1913,,899917,
ALB,1914,,905859,
ALB,1915,,911841,
ALB,1916,,917862,
ALB,1917,,923923,
ALB,1918,,929879,
ALB,1919,,935646,
ALB,1920,,941221,
ALB,1921,,946603,
ALB,1922,,951788,
ALB,1923,,956775,
ALB,1924,,961788,
ALB,1925,,966828,
ALB,1926,,971893,
ALB,1927,,976986,
ALB,1928,,982104,
ALB,1929,,988255,
ALB,1930,,995454,
ALB,1931,,1003716,
ALB,1932,,1013057,
ALB,1933,,1023495,
ALB,1934,,1034040,
ALB,1935,,1044694,
ALB,1936,,1055458,
ALB,1937,,1066333,
ALB,1938,,1077319,
ALB,1939,,1088816,
ALB,1940,,1100833,
ALB,1941,,1113381,
ALB,1942,,1126469,
ALB,1943,,1140109,
ALB,1944,,1153914,
ALB,1945,,1167887,
ALB,1946,,1182028,
ALB,1947,,1196341,
ALB,1948,,1210827,
ALB,1949,,1229519,
ALB,1950,,1247854,
ALB,1951,,1276365,
ALB,1952,,1308368,
ALB,1953,,1343581,
ALB,1954,,1381088,
ALB,1955,,1418855,
ALB,1956,,1456823,
ALB,1957,,1497954,
ALB,1958,,1543982,
ALB,1959,,1595021,
ALB,1960,,1649393,
ALB,1961,,1698801,
ALB,1962,,1743739,
ALB,1963,,1791289,
ALB,1964,,1841445,
ALB,1965,,1894317,
ALB,1966,,1950049,
ALB,1967,,2008524,
ALB,1968,,2068848,
ALB,1969,,2126885,
ALB,1970,,2181226,
ALB,1971,,2234995,
ALB,1972,,2289265,
ALB,1973,,2344108,
ALB,1974,,2399397,
ALB,1975,,2454861,
ALB,1976,,2510579,
ALB,1977,,2566603,
ALB,1978,,2624620,
ALB,1979,,2681393,
ALB,1980,,2735424,
ALB,1981,,2790413,
ALB,1982,,2846910,
ALB,1983,,2905128,
ALB,1984,,2964961,
ALB,1985,,3026245,
ALB,1986,,3087658,
ALB,1987,,3148843,
ALB,1988,,3212924,
ALB,1989,,3260369,
ALB,1990,,3277965,
ALB,1991,,3282608,
ALB,1992,,3282506,
ALB,1993,,3277831,
ALB,1994,,3269417,
ALB,1995,,3258573,
ALB,1997,,3229665,
ALB,1998,,3210134,
ALB,1999,,3188598,
ALB,2000,,3166147,
ALB,2001,,3147943,
ALB,2003,,3118093,
ALB,2004,,3098662,
ALB,2006,,3050805,
ALB,2007,,3022887,
ALB,2009,,2961487,
ALB,2010,,2928731,
ALB,2011,,2911499,
ALB,2013,,2907571,
ALB,2021,,2849641,
ALB,2022,,2827614,
ALB,2023,,2811660,Europe
DZA,1988,12.2630005,24109538,
DZA,1995,11.807,28470194,
DZA,2011,0,36903374,
DZA,-10000,,12090,
DZA,-9000,,20150,
DZA,-8000,,33584,
DZA,-7000,,55973,
DZA,-6000,,93289,
DZA,-5000,,155482,
DZA,-4000,,259137,
DZA,-3000,,431895,
DZA,-2000,,719826,
DZA,-1000,,1199710,
DZA,0,,1999517,
DZA,100,,1959366,
DZA,200,,1920021,
DZA,300,,1881466,
DZA,400,,1843686,
DZA,500,,1806664,
DZA,600,,1770386,
DZA,700,,1734836,
DZA,800,,1700000,
DZA,900,,1850000,
DZA,1000,,2000000,
DZA,1100,,1950000,
DZA,1200,,1900000,
DZA,1300,,1685000,
DZA,1400,,1470000,
DZA,1500,,1500000,
DZA,1600,,2250000,
DZA,1700,,1750000,
DZA,1710,,1828250,
DZA,1720,,1906500,
DZA,1730,,1984750,
DZA,1740,,2063000,
DZA,1750,,2141250,
DZA,1760,,2219500,
DZA,1770,,2297750,
DZA,1780,,2376000,
DZA,1790,,2454250,
DZA,1800,,2500000,
DZA,1801,,2509126,
DZA,1802,,2518286,
DZA,1803,,2527479,
DZA,1804,,2536706,
DZA,1805,,2545967,
DZA,1806,,2555261,
DZA,1807,,2564589,
DZA,1808,,2573951,
DZA,1809,,2583348,
DZA,1810,,2592813,
DZA,1811,,2602278,
DZA,1812,,2611778,
DZA,1813,,2621312,
DZA,1814,,2630882,
DZA,1815,,2640486,
DZA,1816,,2650125,
DZA,1817,,2659800,
DZA,1818,,2669510,
DZA,1819,,2678262,
DZA,1820,,2686052,
DZA,1821,,2692874,
DZA,1822,,2698723,
DZA,1823,,2703593,
DZA,1824,,2708472,
DZA,1825,,2713360,
DZA,1826,,2718256,
DZA,1827,,2723162,
DZA,1828,,2728076,
DZA,1829,,2732999,
DZA,1830,,2737931,
DZA,1831,,2742872,
DZA,1832,,2747822,
DZA,1833,,2752781,
DZA,1834,,2757748,
DZA,1835,,2762725,
DZA,1836,,2767711,
DZA,1837,,2772705,
DZA,1838,,2777709,
DZA,1839,,2782722,
DZA,1840,,2787744,
DZA,1841,,2792774,
DZA,1842,,2797814,
DZA,1843,,2802863,
DZA,1844,,2807921,
DZA,1845,,2812989,
DZA,1846,,2818065,
DZA,1847,,2823150,
DZA,1848,,2828245,
DZA,1849,,2838059,
DZA,1850,,2852648,
DZA,1851,,2872405,
DZA,1852,,2897058,
DZA,1853,,2926664,
DZA,1854,,2956573,
DZA,1855,,2986788,
DZA,1856,,3017311,
DZA,1857,,3048147,
DZA,1858,,3079297,
DZA,1859,,3110766,
DZA,1860,,3142556,
DZA,1861,,3174671,
DZA,1862,,3207115,
DZA,1863,,3239889,
DZA,1864,,3272999,
DZA,1865,,3306447,
DZA,1866,,3340237,
DZA,1867,,3374372,
DZA,1868,,3408856,
DZA,1869,,3443692,
DZA,1870,,3478884,
DZA,1871,,3514436,
DZA,1872,,3550350,
DZA,1873,,3586632,
DZA,1874,,3623285,
DZA,1875,,3660312,
DZA,1876,,3697718,
DZA,1877,,3735505,
DZA,1878,,3773679,
DZA,1879,,3812243,
DZA,1880,,3851201,
DZA,1881,,3890557,
DZA,1882,,3930315,
DZA,1883,,3970479,
DZA,1884,,4011054,
DZA,1885,,4052043,
DZA,1886,,4093452,
DZA,1887,,4135283,
DZA,1888,,4177542,
DZA,1889,,4219933,
DZA,1890,,4262454,
DZA,1891,,4305104,
DZA,1892,,4347882,
DZA,1893,,4390784,
DZA,1894,,4434110,
DZA,1895,,4477863,
DZA,1896,,4522048,
DZA,1897,,4566669,
DZA,1898,,4611731,
DZA,1899,,4663386,
DZA,1900,,4721802,
DZA,1901,,4787149,
DZA,1902,,4859600,
DZA,1903,,4939332,
DZA,1904,,5020372,
DZA,1905,,5102742,
DZA,1906,,5186463,
DZA,1907,,5271557,
DZA,1908,,5358048,
DZA,1909,,5433528,
DZA,1910,,5497750,
DZA,1911,,5550464,
DZA,1912,,5591415,
DZA,1913,,5620343,
DZA,1914,,5649420,
DZA,1915,,5678648,
DZA,1916,,5708027,
DZA,1917,,5737558,
DZA,1918,,5766569,
DZA,1919,,5802743,
DZA,1920,,5846192,
DZA,1921,,5897033,
DZA,1922,,5955381,
DZA,1923,,6021355,
DZA,1924,,6088060,
DZA,1925,,6155505,
DZA,1926,,6223696,
DZA,1927,,6292643,
DZA,1928,,6362353,
DZA,1929,,6441431,
DZA,1930,,6530132,
DZA,1931,,6628718,
DZA,1932,,6737455,
DZA,1933,,6856617,
DZA,1934,,6977885,
DZA,1935,,7101299,
DZA,1936,,7226895,
DZA,1937,,7354713,
DZA,1938,,7484792,
DZA,1939,,7613042,
DZA,1940,,7739370,
DZA,1941,,7863680,
DZA,1942,,7985870,
DZA,1943,,8105839,
DZA,1944,,8227611,
DZA,1945,,8351211,
DZA,1946,,8476669,
DZA,1947,,8604011,
DZA,1948,,8733267,
DZA,1949,,8871792,
DZA,1950,,9018423,
DZA,1951,,9269870,
DZA,1952,,9521212,
DZA,1953,,9772644,
DZA,1954,,10014393,
DZA,1955,,10247429,
DZA,1956,,10482183,
DZA,1957,,10717503,
DZA,1958,,10953641,
DZA,1959,,11189621,
DZA,1960,,11424930,
DZA,1961,,11628877,
DZA,1962,,11800768,
DZA,1963,,11982121,
DZA,1964,,12179807,
DZA,1965,,12365979,
DZA,1966,,12590068,
DZA,1967,,12876115,
DZA,1968,,13172615,
DZA,1969,,13475959,
DZA,1970,,13783722,
DZA,1971,,14098937,
DZA,1972,,14427075,
DZA,1973,,14771150,
DZA,1974,,15133508,
DZA,1975,,15678603,
DZA,1976,,16409171,
DZA,1977,,17015988,
DZA,1978,,17506977,
DZA,1979,,18036655,
DZA,1980,,18607175,
DZA,1981,,19220708,
DZA,1982,,19872353,
DZA,1983,,20558120,
DZA,1984,,21271969,
DZA,1985,,22008542,
DZA,1986,,22745501,
DZA,1987,,23443627,
DZA,1989,,24754488,
DZA,1990,,25375815,
DZA,1991,,25987937,
DZA,1992,,26628570,
DZA,1993,,27277042,
DZA,1994,,27887277,
DZA,1996,,29033045,
DZA,1997,,29579299,
DZA,1998,,30054135,
DZA,1999,,30474360,
DZA,2000,,30903894,
DZA,2001,,31331226,
DZA,2002,,31750832,
DZA,2003,,32175813,
DZA,2004,,32628286,
DZA,2005,,33109258,
DZA,2006,,33623505,
DZA,2007,,34189420,
DZA,2008,,34816963,
DZA,2009,,35490442,
DZA,2010,,36188237,
DZA,2012,,37646165,
DZA,2013,,38414176,
DZA,2014,,39205035,
DZA,2015,,40019528,
DZA,2016,,40850719,
DZA,2017,,41689302,
DZA,2018,,42505033,
DZA,2019,,43294551,
DZA,2020,,44042094,
DZA,2021,,44761099,
DZA,2022,,45477391,
DZA,2023,,46164222,Africa
ASM,0,,1,
ASM,100,,2,
ASM,200,,4,
ASM,300,,6,
ASM,400,,9,
ASM,500,,13,
ASM,600,,20,
ASM,700,,31,
ASM,800,,46,
ASM,900,,70,
ASM,1000,,105,
ASM,1100,,157,
ASM,1200,,236,
ASM,1300,,355,
ASM,1400,,533,
ASM,1500,,799,
ASM,1600,,1199,
ASM,1700,,1799,
ASM,1710,,1894,
ASM,1720,,1993,
ASM,1730,,2098,
ASM,1740,,2209,
ASM,1750,,2325,
ASM,1760,,2447,
ASM,1770,,2576,
ASM,1780,,2712,
ASM,1790,,2854,
ASM,1800,,3005,
ASM,1810,,3163,
ASM,1820,,3339,
ASM,1830,,3524,
ASM,1840,,3720,
ASM,1850,,3927,
ASM,1860,,4145,
ASM,1870,,4663,
ASM,1880,,5246,
ASM,1890,,5902,
ASM,1900,,6639,
ASM,1910,,7469,
